,ano_mes_dia,ano_trim,i_selic_lag1,i_selic_lag2,i_selic_q_mean,pi_ipca12_lag1,pi_ipca12_lag2,pi_ipca12_q_last,pi_ipca_expect_lag1,pi_ipca_expect_lag2,pi_ipca_expect_lead1,pi_ipca_expect_q_mean,pi_ipca_mensal_q_mean,pi_ipca_q_comp,pi_ipca_q_comp_ann,pi_ipca_q_comp_ann_lag1,pi_ipca_q_comp_ann_lag2,pi_ipca_q_comp_lag1,pi_ipca_q_comp_lag2,presidente,tilde_y_bcb,tilde_y_bcb_lag1,tilde_y_bcb_lag2,tilde_y_filtro_hamilton,tilde_y_filtro_hamilton_lag1,tilde_y_filtro_hamilton_lag2,tilde_y_filtro_hp,tilde_y_filtro_hp_lag1,tilde_y_filtro_hp_lag2,tilde_y_filtro_hp_lead1,tilde_y_ifi,tilde_y_ifi_lag1,tilde_y_ifi_lag2,tilde_y_tend_linear,tilde_y_tend_linear_lag1,tilde_y_tend_linear_lag2,tilde_y_tend_quadr,tilde_y_tend_quadr_lag1,tilde_y_tend_quadr_lag2,y_pib_indice_q_last
42,2009-09-30,2009Q3,10.35989010989011,12.65,8.869565217391305,4.8,5.61,4.34,4.293970957613815,4.659860189193522,4.276813005834745,4.393241965973535,0.20967391304347818,21.250656763233966,116.1406228706344,389.04335755437734,328.8086476837669,48.70885889535326,43.9016864861234,HMR,-1.2600000000000016,-1.8900000000000008,-1.879999999999999,0.0708074028308969,-1.2273723832995298,-1.6935447759638955,-2.422584462452815,-3.6667036783109785,-4.437983600001338,-0.902122088453472,-2.34,-3.140000000000001,-3.31,5.093039681643741,3.2558995977560734,1.9274307673188047,-0.1248081489251595,-1.747421533750848,-2.8774427901493427,140.64273985456254
43,2009-12-31,2009Q4,8.869565217391305,10.35989010989011,8.75,4.34,4.8,4.31,4.393241965973535,4.293970957613815,4.81987015566291,4.276813005834745,0.35271739130434787,38.25305757239161,265.34147628445857,116.1406228706344,389.04335755437734,21.250656763233966,48.70885889535326,HMR,-0.3200000000000003,-1.2600000000000016,-1.8900000000000008,1.3149303404362156,0.0708074028308969,-1.2273723832995298,-0.902122088453472,-2.422584462452815,-3.6667036783109785,0.1591596385373428,-0.91,-2.34,-3.140000000000001,7.228298566404723,5.093039681643741,3.2558995977560734,1.7893216038922688,-0.1248081489251595,-1.747421533750848,144.27398545625147
44,2010-03-31,2010Q1,8.75,8.869565217391305,8.75,4.31,4.34,5.17,4.276813005834745,4.393241965973535,5.5126085818942965,4.81987015566291,0.6801111111111112,84.03714582103726,1047.154616490159,265.34147628445857,116.1406228706344,38.25305757239161,21.250656763233966,HMR,0.2699999999999996,-0.3200000000000003,-1.2600000000000016,2.4326979995069165,1.3149303404362156,0.0708074028308969,0.1591596385373428,-0.902122088453472,-2.422584462452815,0.4723069111580935,0.2,-0.91,-2.34,8.859025805900856,7.228298566404723,5.093039681643741,3.233564087526819,1.7893216038922688,-0.1248081489251595,147.25779967159278
45,2010-06-30,2010Q2,8.75,8.75,9.442307692307692,5.17,4.31,4.84,4.81987015566291,4.276813005834745,5.201660784867307,5.5126085818942965,0.3343956043956044,35.46304926358796,236.73122422597461,1047.154616490159,265.34147628445857,84.03714582103726,38.25305757239161,HMR,0.6900000000000013,0.2699999999999996,-0.3200000000000003,1.8722119541173756,2.4326979995069165,1.3149303404362156,0.4723069111580935,0.1591596385373428,-0.902122088453472,0.4227627968171665,0.64,0.2,-0.91,9.655079580377102,8.859025805900856,7.228298566404723,3.897104931658424,3.233564087526819,1.7893216038922688,149.13441238564394
46,2010-09-30,2010Q3,9.442307692307692,8.75,10.63586956521739,4.84,5.17,4.7,5.5126085818942965,4.81987015566291,5.520947778827977,5.201660784867307,0.1635869565217391,16.206026918946016,82.353713442661,236.73122422597461,1047.154616490159,35.46304926358796,84.03714582103726,HMR,0.9600000000000009,0.6900000000000013,0.2699999999999996,1.4420557697967906,1.8722119541173756,2.4326979995069165,0.4227627968171665,0.4723069111580935,0.1591596385373428,0.9710779416207682,0.53,0.64,0.2,10.020873551718612,9.655079580377102,8.859025805900856,4.165172017760943,3.897104931658424,3.233564087526819,150.43865822190946
47,2010-12-31,2010Q4,10.63586956521739,9.442307692307692,10.75,4.7,4.84,5.91,5.201660784867307,5.5126085818942965,5.726387301587303,5.520947778827977,0.7356521739130433,96.26432648008422,1383.7661978810816,82.353713442661,236.73122422597461,16.206026918946016,35.46304926358796,HMR,1.1999999999999993,0.9600000000000009,0.6900000000000013,6.088534379831945,1.4420557697967906,1.8722119541173756,0.9710779416207682,0.4227627968171665,0.4723069111580935,1.4750182475631313,0.86,0.53,0.64,11.00069777572914,10.020873551718612,9.655079580377102,5.026876796371305,4.165172017760943,3.897104931658424,152.59676284306826
48,2011-03-31,2011Q1,10.75,10.63586956521739,11.305555555555555,5.91,4.7,6.3,5.520947778827977,5.201660784867307,6.255851178896291,5.726387301587303,0.806888888888889,106.1192166161653,1704.98639504277,1383.7661978810816,82.353713442661,96.26432648008422,16.206026918946016,ATB,1.370000000000001,1.1999999999999993,0.9600000000000009,8.484001160728827,6.088534379831945,1.4420557697967906,1.4750182475631313,0.9710779416207682,0.4227627968171665,1.7044839386216148,0.99,0.86,0.53,11.885384019099398,11.00069777572914,10.020873551718612,5.810784761507071,5.026876796371305,4.165172017760943,154.642270701384
49,2011-06-30,2011Q2,11.305555555555555,10.75,11.994505494505495,6.3,5.91,6.71,5.726387301587303,5.520947778827977,6.343038752362949,6.255851178896291,0.46340659340659335,52.263158973847545,437.5010823225152,1704.98639504277,1383.7661978810816,106.1192166161653,96.26432648008422,ATB,1.370000000000001,1.370000000000001,1.1999999999999993,8.944713205352596,8.484001160728827,6.088534379831945,1.7044839386216148,1.4750182475631313,0.9710779416207682,0.7377551802593585,0.99,0.99,0.86,12.41301995437707,11.885384019099398,11.00069777572914,6.2697285295435945,5.810784761507071,5.026876796371305,156.2092423176167
50,2011-09-30,2011Q3,11.994505494505495,11.305555555555555,12.282608695652174,6.71,6.3,7.31,6.255851178896291,5.726387301587303,6.503801877470355,6.343038752362949,0.351413043478261,38.07527508968101,263.46589711600546,437.5010823225152,1704.98639504277,52.263158973847545,106.1192166161653,ATB,1.120000000000001,1.370000000000001,1.370000000000001,6.522268562518896,8.944713205352596,8.484001160728827,0.7377551802593585,1.7044839386216148,1.4750182475631313,1.001378316755397,0.34,0.99,0.99,11.554971868513352,12.41301995437707,11.885384019099398,5.432087452791135,6.2697285295435945,5.810784761507071,155.852685901947
51,2011-12-31,2011Q4,12.282608695652174,11.994505494505495,11.434782608695652,7.31,6.71,6.5,6.343038752362949,6.255851178896291,5.280206898364793,6.503801877470355,0.4829347826086957,55.77209310219353,488.7875553404741,263.46589711600546,437.5010823225152,38.07527508968101,52.263158973847545,ATB,0.8999999999999986,1.120000000000001,1.370000000000001,4.769305229558452,6.522268562518896,8.944713205352596,1.001378316755397,0.7377551802593585,1.7044839386216148,-1.063548650623769,0.57,0.34,0.99,11.9921563675099,11.554971868513352,12.41301995437707,5.83198459044123,5.432087452791135,6.2697285295435945,157.30706075533664
