,data,Tendência Linear,Tendência Quadrática,Filtro HP,Filtro de Hamilton,IFI,BCB
0,1999Q1,-7.033520048044062,3.7712213464404565,0.0031177684964411867,,-1.51,
1,1999Q2,-7.05133066845447,3.088953928998106,-0.1542294149305956,,-1.81,
2,1999Q3,-7.558478447701045,1.884706140673864,-0.8362557243346669,,-1.95,
3,1999Q4,-6.748483965740537,2.146927968835932,-0.10552476919840625,,-1.8000000000000003,
4,2000Q1,-6.259465601374403,2.065477479135991,0.2803457946936705,,-1.29,
5,2000Q2,-5.4447400253803675,2.346670333708012,1.0143301877904465,,-0.4699999999999999,
6,2000Q3,-4.828642939613759,2.4201498012550893,1.536161230873323,,0.13,
7,2000Q4,-4.179556927407447,2.5375602540244957,2.0933836301505693,,0.62,
8,2001Q1,-4.381951836712117,1.7571372927715823,1.7436570461637935,,0.45999999999999996,
9,2001Q2,-5.330100199585042,0.20552457620965914,0.6005258453015916,,-0.6,
10,2001Q3,-6.32079582989018,-1.3647330958660109,-0.5899640338340673,,-1.63,
11,2001Q4,-7.113076649874706,-2.7012113212164457,-1.5758753521088908,-4.884173896280641,-2.34,
12,2002Q1,-5.3126017067131714,-1.3122144801762436,0.17177175396667632,-3.2309333793045347,-1.19,
13,2002Q2,-5.590933335757797,-2.0830606538364327,-0.29690845110060815,-4.362585805525232,-1.13,
14,2002Q3,-4.801277410954141,-1.7341323304472245,0.3441830540115598,-3.9629791133513503,-0.91,
15,2002Q4,-4.3551874094453495,-1.7313521567212442,0.6010999395857253,-4.065966518374198,-0.55,
16,2003Q1,-5.27933290650362,-3.1198425224903126,-0.6039610388753669,-4.738303692464251,-1.31,
17,2003Q2,-6.56524412940348,-4.8542021135138285,-2.2074666477567506,-5.241122980854462,-2.61,
18,2003Q3,-6.212750692137292,-4.902179012207409,-2.1203098831766076,-3.896146632115116,-2.59,
19,2003Q4,-5.74770946615587,-4.825888411867673,-1.9459174039130778,-2.536231722189586,-1.94,-0.9899999999999984
20,2004Q1,-4.96678880980721,-4.4222033634157,-1.4746002806773295,-3.1872564723644192,-1.24,-0.5399999999999991
21,2004Q2,-2.831142799074715,-2.6540387816971656,0.3642250330750496,-0.5333632427555357,-0.22,-0.10999999999999943
22,2004Q3,-2.1498890706041385,-2.3401756815552788,0.6658564542021184,-1.00178334359029,0.33,0.2699999999999996
23,2004Q4,-1.936902645388483,-2.483403042737775,0.46030572806281533,-0.7363380200761327,0.54,0.48999999999999844
24,2005Q1,-1.6131563113843006,-2.504894287492254,0.3460129062409889,0.29010761265062524,0.4,0.46000000000000085
25,2005Q2,-1.0575460202156495,-2.2862096679172494,0.44587569831369134,2.046115990570496,-0.13,0.10999999999999943
26,2005Q3,-2.1841614168636725,-3.713743532988678,-1.1760745062283529,0.8298813082768364,-1.13,-0.25
27,2005Q4,-1.462269241526204,-3.3071961010375017,-0.9441989534276218,1.4195256867453265,-1.14,-0.35999999999999943
28,2006Q1,-0.4409919161290299,-2.599053455673317,-0.4341680784449853,1.601752234499365,-0.64,-0.33999999999999986
29,2006Q2,-0.6139834481339701,-3.04873941273186,-1.1344429117391863,-0.3833963275872043,-1.0,-0.28999999999999915
30,2006Q3,0.4908695906844507,-2.241420781252945,-0.5775094677507808,0.2316481718425356,-0.49,-0.129999999999999
31,2006Q4,1.1198236094688285,-1.8886567772218865,-0.506470392421654,0.4197929825821456,-0.33,0.030000000000001137
32,2007Q1,2.427218438262657,-0.8694582559073294,0.2194596866925691,1.6718131827098803,0.09,0.3099999999999987
33,2007Q2,3.6367339990515557,0.06208362270376799,0.8377162303049746,2.53025592047178,0.4099999999999999,0.5700000000000003
34,2007Q3,4.142295464989565,0.32316712202775655,0.7673227327127385,4.094962787953627,0.64,0.879999999999999
35,2007Q4,5.134513174108779,1.0630035408112803,1.1686183837267938,4.362917936363897,1.22,1.2199999999999989
36,2008Q1,5.881374433310826,1.5766321019158314,1.336184753281744,4.6582154446529245,1.69,1.4400000000000013
37,2008Q2,7.474288043612232,2.910740359337627,2.314994857573982,6.203193237806159,2.15,1.6700000000000017
38,2008Q3,8.624409040658222,3.8293129308144103,2.8732022296509507,6.2820524741966866,1.78,1.5199999999999996
39,2008Q4,3.9661830351714,-0.7853917797650212,-2.0382890244058927,1.51251770290608,-1.31,-0.46000000000000085
40,2009Q1,1.9274307673188051,-2.8774427901493427,-4.437983600001338,-1.6935447759638955,-3.3099999999999996,-1.879999999999999
41,2009Q2,3.2558995977560734,-1.747421533750848,-3.6667036783109785,-1.2273723832995298,-3.1400000000000006,-1.8900000000000006
42,2009Q3,5.093039681643741,-0.12480814892515957,-2.422584462452815,0.07080740283089693,-2.34,-1.2600000000000016
43,2009Q4,7.228298566404723,1.7893216038922688,-0.902122088453472,1.3149303404362156,-0.91,-0.3200000000000003
44,2010Q1,8.859025805900856,3.233564087526819,0.15915963853734283,2.4326979995069165,0.2,0.2699999999999996
45,2010Q2,9.655079580377102,3.897104931658424,0.47230691115809353,1.8722119541173754,0.64,0.6900000000000013
46,2010Q3,10.020873551718612,4.165172017760943,0.42276279681716655,1.4420557697967906,0.53,0.9600000000000009
47,2010Q4,11.00069777572914,5.026876796371305,0.9710779416207682,6.088534379831945,0.86,1.1999999999999993
48,2011Q1,11.885384019099398,5.810784761507071,1.4750182475631313,8.484001160728827,0.9899999999999999,1.370000000000001
49,2011Q2,12.41301995437707,6.2697285295435945,1.7044839386216148,8.944713205352596,0.9899999999999999,1.370000000000001
50,2011Q3,11.554971868513352,5.4320874527911345,0.7377551802593585,6.522268562518896,0.34,1.120000000000001
